step time x- x+ y- y+ z- z+ sum
1 1.3333e-02 -7.7769e+00 1.1211e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4341e+00
10 1.3333e-01 -8.0760e+00 1.2452e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.3756e+00
20 2.6667e-01 -7.8201e+00 1.1563e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.7431e+00
30 4.0000e-01 -7.8488e+00 1.1324e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.4755e+00
40 5.3333e-01 -7.8407e+00 1.1050e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2091e+00
50 6.6667e-01 -7.8322e+00 1.0722e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.8895e+00
60 8.0000e-01 -7.8357e+00 1.0486e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6502e+00
70 9.3333e-01 -7.8298e+00 1.0244e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.4141e+00
80 1.0667e+00 -7.8275e+00 1.0037e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2098e+00
90 1.2000e+00 -7.8240e+00 9.8487e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.0248e+00
100 1.3333e+00 -7.8205e+00 9.6772e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.8567e+00
110 1.4667e+00 -7.8170e+00 9.5227e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.7057e+00
120 1.6000e+00 -7.8132e+00 9.3815e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5683e+00
130 1.7333e+00 -7.8095e+00 9.2533e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.4439e+00
140 1.8667e+00 -7.8057e+00 9.1363e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3306e+00
150 2.0000e+00 -7.8021e+00 9.0295e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2274e+00
160 2.1333e+00 -7.7986e+00 8.9319e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.1333e+00
170 2.2667e+00 -7.7954e+00 8.8422e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.0467e+00
180 2.4000e+00 -7.7924e+00 8.7600e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.6760e-01
190 2.5333e+00 -7.7897e+00 8.6846e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.9494e-01
200 2.6667e+00 -7.7871e+00 8.6153e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 8.2822e-01
